full,split,length,title,subtitle,date_published,text,date_scraped,rating,top_reviewer,helpful_reviewer,rating_count,name,review_count
"D
DeShonndaTOP REVIEWER
6 ratings5 reviews
May 24, 2019
I love shopping at BJs. Worth the money on a lot items especially snacks and cereal for the kids. Using the Groupon was very easy.
Helpful
04/07/2021 13:14:38
5","['D', 'DeShonndaTOP REVIEWER', '6 ratings5 reviews', 'May 24, 2019', 'I love shopping at BJs. Worth the money on a lot items especially snacks and cereal for the kids. Using the Groupon was very easy.', 'Helpful', '04/07/2021 13:14:38', '5']",8,DeShonndaTOP REVIEWER,6 ratings5 reviews,05/24/2019,I love shopping at BJs. Worth the money on a lot items especially snacks and cereal for the kids. Using the Groupon was very easy.,04/07/2021 13:14:38,5,1,0,6,DeShonnda,0
"E
Erin
2 ratings1 reviews
May 24, 2019
I didn't redeem my $25 dollar BJ's membership groupon! I tried to, with the help of Groupon. What a gimmick. I wasted $25 for a 50% off membership and can't use it!
Helpful
04/07/2021 13:14:38
1","['E', 'Erin', '2 ratings1 reviews', 'May 24, 2019', ""I didn't redeem my $25 dollar BJ's membership groupon! I tried to, with the help of Groupon. What a gimmick. I wasted $25 for a 50% off membership and can't use it!"", 'Helpful', '04/07/2021 13:14:38', '1']",8,Erin,2 ratings1 reviews,05/24/2019,"I didn't redeem my $25 dollar BJ's membership groupon! I tried to, with the help of Groupon. What a gimmick. I wasted $25 for a 50% off membership and can't use it!",04/07/2021 13:14:38,1,0,0,2,Erin,0
"D
Darren
2 ratings1 reviews
May 24, 2019
Courteous and friendly. Great products. Great prices.
Helpful
04/07/2021 13:14:42
5","['D', 'Darren', '2 ratings1 reviews', 'May 24, 2019', 'Courteous and friendly. Great products. Great prices.', 'Helpful', '04/07/2021 13:14:42', '5']",8,Darren,2 ratings1 reviews,05/24/2019,Courteous and friendly. Great products. Great prices.,04/07/2021 13:14:42,5,0,0,2,Darren,0
"E
Eduardo
1 ratings1 reviews
May 24, 2019
nice clean and quiet experience.
Helpful
04/07/2021 13:14:42
5","['E', 'Eduardo', '1 ratings1 reviews', 'May 24, 2019', 'nice clean and quiet experience.', 'Helpful', '04/07/2021 13:14:42', '5']",8,Eduardo,1 ratings1 reviews,05/24/2019,nice clean and quiet experience.,04/07/2021 13:14:42,5,0,0,1,Eduardo,0
"R
RamoniaTOP REVIEWERHELPFUL REVIEWER
6 ratings6 reviews
May 22, 2019
The employees were very nice but the line (Sunday) was ridiculous. However, it was early afternoon. Either get there when they open or just before they close. Also, someone in the store should be alerted when the line is starting to get backed up to the entrance, so that additional help can be placed in the area to move the lines quicker.
Helpful
04/07/2021 13:14:42
5","['R', 'RamoniaTOP REVIEWERHELPFUL REVIEWER', '6 ratings6 reviews', 'May 22, 2019', 'The employees were very nice but the line (Sunday) was ridiculous. However, it was early afternoon. Either get there when they open or just before they close. Also, someone in the store should be alerted when the line is starting to get backed up to the entrance, so that additional help can be placed in the area to move the lines quicker.', 'Helpful', '04/07/2021 13:14:42', '5']",8,RamoniaTOP REVIEWERHELPFUL REVIEWER,6 ratings6 reviews,05/22/2019,"The employees were very nice but the line (Sunday) was ridiculous. However, it was early afternoon. Either get there when they open or just before they close. Also, someone in the store should be alerted when the line is starting to get backed up to the entrance, so that additional help can be placed in the area to move the lines quicker.",04/07/2021 13:14:42,5,1,1,6,Ramonia,0
"N
NGOCKHANHTOP REVIEWER
15 ratings6 reviews
May 22, 2019
Great selection of summer clothing, furniture, and then some clearance on winter clothes too.
Helpful
04/07/2021 13:14:42
5","['N', 'NGOCKHANHTOP REVIEWER', '15 ratings6 reviews', 'May 22, 2019', 'Great selection of summer clothing, furniture, and then some clearance on winter clothes too.', 'Helpful', '04/07/2021 13:14:42', '5']",8,NGOCKHANHTOP REVIEWER,15 ratings6 reviews,05/22/2019,"Great selection of summer clothing, furniture, and then some clearance on winter clothes too.",04/07/2021 13:14:42,5,1,0,15,NGOCKHANH,0
"C
Carl
4 ratings3 reviews
May 21, 2019
Excellent
Helpful
04/07/2021 13:14:42
5","['C', 'Carl', '4 ratings3 reviews', 'May 21, 2019', 'Excellent', 'Helpful', '04/07/2021 13:14:42', '5']",8,Carl,4 ratings3 reviews,05/21/2019,Excellent,04/07/2021 13:14:42,5,0,0,4,Carl,0
"T
TAMMY
3 ratings1 reviews
May 21, 2019
Always clean and lots of choices. Prices and coupons are a plus.
Helpful
04/07/2021 13:14:42
5","['T', 'TAMMY', '3 ratings1 reviews', 'May 21, 2019', 'Always clean and lots of choices. Prices and coupons are a plus.', 'Helpful', '04/07/2021 13:14:42', '5']",8,TAMMY,3 ratings1 reviews,05/21/2019,Always clean and lots of choices. Prices and coupons are a plus.,04/07/2021 13:14:42,5,0,0,3,TAMMY,0
"B
Bruce
1 ratings1 reviews
May 21, 2019
Everything was easy
Helpful
04/07/2021 13:14:42
5","['B', 'Bruce', '1 ratings1 reviews', 'May 21, 2019', 'Everything was easy', 'Helpful', '04/07/2021 13:14:42', '5']",8,Bruce,1 ratings1 reviews,05/21/2019,Everything was easy,04/07/2021 13:14:42,5,0,0,1,Bruce,0
"L
Lidia
4 ratings3 reviews
May 21, 2019
I was about to renew my membership for $55 but luckily I saw this $20 offer on Groupon!
Helpful
04/07/2021 13:14:42
5","['L', 'Lidia', '4 ratings3 reviews', 'May 21, 2019', 'I was about to renew my membership for $55 but luckily I saw this $20 offer on Groupon!', 'Helpful', '04/07/2021 13:14:42', '5']",8,Lidia,4 ratings3 reviews,05/21/2019,I was about to renew my membership for $55 but luckily I saw this $20 offer on Groupon!,04/07/2021 13:14:42,5,0,0,4,Lidia,0
"S
Steve
3 ratings2 reviews
May 21, 2019
Helpful staff and the gas savings alone more than pays for the membership.
Helpful
04/07/2021 13:14:42
5","['S', 'Steve', '3 ratings2 reviews', 'May 21, 2019', 'Helpful staff and the gas savings alone more than pays for the membership.', 'Helpful', '04/07/2021 13:14:42', '5']",8,Steve,3 ratings2 reviews,05/21/2019,Helpful staff and the gas savings alone more than pays for the membership.,04/07/2021 13:14:42,5,0,0,3,Steve,0
"F
Flor
1 ratings1 reviews
May 20, 2019
Smaller than I expected but the service overall was pretty good.
Helpful
04/07/2021 13:14:42
4","['F', 'Flor', '1 ratings1 reviews', 'May 20, 2019', 'Smaller than I expected but the service overall was pretty good.', 'Helpful', '04/07/2021 13:14:42', '4']",8,Flor,1 ratings1 reviews,05/20/2019,Smaller than I expected but the service overall was pretty good.,04/07/2021 13:14:42,4,0,0,1,Flor,0
"P
Paula
2 ratings2 reviews
May 20, 2019
It was an easy purchase and an easier redeem. Great shopping center and affordable.
Helpful
04/07/2021 13:14:45
5","['P', 'Paula', '2 ratings2 reviews', 'May 20, 2019', 'It was an easy purchase and an easier redeem. Great shopping center and affordable.', 'Helpful', '04/07/2021 13:14:45', '5']",8,Paula,2 ratings2 reviews,05/20/2019,It was an easy purchase and an easier redeem. Great shopping center and affordable.,04/07/2021 13:14:45,5,0,0,2,Paula,0
"A
Armilenta
8 ratings4 reviews
May 20, 2019
The Customer Service Rep was both professional and personable.
Helpful
04/07/2021 13:14:45
5","['A', 'Armilenta', '8 ratings4 reviews', 'May 20, 2019', 'The Customer Service Rep was both professional and personable.', 'Helpful', '04/07/2021 13:14:45', '5']",8,Armilenta,8 ratings4 reviews,05/20/2019,The Customer Service Rep was both professional and personable.,04/07/2021 13:14:45,5,0,0,8,Armilenta,0
"S
StephenTOP REVIEWER
10 ratings8 reviews
May 20, 2019
Great Service and prices.
Helpful
04/07/2021 13:14:45
5","['S', 'StephenTOP REVIEWER', '10 ratings8 reviews', 'May 20, 2019', 'Great Service and prices.', 'Helpful', '04/07/2021 13:14:45', '5']",8,StephenTOP REVIEWER,10 ratings8 reviews,05/20/2019,Great Service and prices.,04/07/2021 13:14:45,5,1,0,10,Stephen,0
"P
Preeti
10 ratings4 reviews
May 19, 2019
I love the products in bjs.
Helpful
04/07/2021 13:14:45
5","['P', 'Preeti', '10 ratings4 reviews', 'May 19, 2019', 'I love the products in bjs.', 'Helpful', '04/07/2021 13:14:45', '5']",8,Preeti,10 ratings4 reviews,05/19/2019,I love the products in bjs.,04/07/2021 13:14:45,5,0,0,10,Preeti,0
"M
Mirella
5 ratings3 reviews
May 19, 2019
Great price!
Helpful
04/07/2021 13:14:45
5","['M', 'Mirella', '5 ratings3 reviews', 'May 19, 2019', 'Great price!', 'Helpful', '04/07/2021 13:14:45', '5']",8,Mirella,5 ratings3 reviews,05/19/2019,Great price!,04/07/2021 13:14:45,5,0,0,5,Mirella,0
"S
Shaneequa
1 ratings1 reviews
May 19, 2019
Great experience
Helpful
04/07/2021 13:14:45
5","['S', 'Shaneequa', '1 ratings1 reviews', 'May 19, 2019', 'Great experience', 'Helpful', '04/07/2021 13:14:45', '5']",8,Shaneequa,1 ratings1 reviews,05/19/2019,Great experience,04/07/2021 13:14:45,5,0,0,1,Shaneequa,0
"G
GinaTOP REVIEWERHELPFUL REVIEWER
16 ratings7 reviews
May 19, 2019
I've been a member at BJ's for about 5 years and rarely use it so, getting the membership at a reduced rate is a plus for me.
Helpful
04/07/2021 13:14:45
5","['G', 'GinaTOP REVIEWERHELPFUL REVIEWER', '16 ratings7 reviews', 'May 19, 2019', ""I've been a member at BJ's for about 5 years and rarely use it so, getting the membership at a reduced rate is a plus for me."", 'Helpful', '04/07/2021 13:14:45', '5']",8,GinaTOP REVIEWERHELPFUL REVIEWER,16 ratings7 reviews,05/19/2019,"I've been a member at BJ's for about 5 years and rarely use it so, getting the membership at a reduced rate is a plus for me.",04/07/2021 13:14:45,5,1,1,16,Gina,0
"M
Mercy
2 ratings1 reviews
May 19, 2019
Awesome!
Helpful
04/07/2021 13:14:45
5","['M', 'Mercy', '2 ratings1 reviews', 'May 19, 2019', 'Awesome!', 'Helpful', '04/07/2021 13:14:45', '5']",8,Mercy,2 ratings1 reviews,05/19/2019,Awesome!,04/07/2021 13:14:45,5,0,0,2,Mercy,0
"S
Sheleia
1 ratings1 reviews
May 19, 2019
Great!!! Service
Helpful
04/07/2021 13:14:45
5","['S', 'Sheleia', '1 ratings1 reviews', 'May 19, 2019', 'Great!!! Service', 'Helpful', '04/07/2021 13:14:45', '5']",8,Sheleia,1 ratings1 reviews,05/19/2019,Great!!! Service,04/07/2021 13:14:45,5,0,0,1,Sheleia,0
"H
Helene
4 ratings1 reviews
May 18, 2019
Awesome deal thank you Groupon
Helpful
04/07/2021 13:14:45
5","['H', 'Helene', '4 ratings1 reviews', 'May 18, 2019', 'Awesome deal thank you Groupon', 'Helpful', '04/07/2021 13:14:45', '5']",8,Helene,4 ratings1 reviews,05/18/2019,Awesome deal thank you Groupon,04/07/2021 13:14:45,5,0,0,4,Helene,0
"N
NadjaTOP REVIEWER
40 ratings19 reviews
May 18, 2019
We went in to renew our membership the line was a little long but when it was our turn the customer service representative was so helpful and kind Explained the services and the benefits of membership It was a great experience
Helpful
04/07/2021 13:14:49
5","['N', 'NadjaTOP REVIEWER', '40 ratings19 reviews', 'May 18, 2019', 'We went in to renew our membership the line was a little long but when it was our turn the customer service representative was so helpful and kind Explained the services and the benefits of membership It was a great experience', 'Helpful', '04/07/2021 13:14:49', '5']",8,NadjaTOP REVIEWER,40 ratings19 reviews,05/18/2019,We went in to renew our membership the line was a little long but when it was our turn the customer service representative was so helpful and kind Explained the services and the benefits of membership It was a great experience,04/07/2021 13:14:49,5,1,0,40,Nadja,0
"A
AbraTOP REVIEWER
24 ratings19 reviews
May 18, 2019
I really like the store and membership but I had hoped for a better gas experience
Helpful
04/07/2021 13:14:49
4","['A', 'AbraTOP REVIEWER', '24 ratings19 reviews', 'May 18, 2019', 'I really like the store and membership but I had hoped for a better gas experience', 'Helpful', '04/07/2021 13:14:49', '4']",8,AbraTOP REVIEWER,24 ratings19 reviews,05/18/2019,I really like the store and membership but I had hoped for a better gas experience,04/07/2021 13:14:49,4,1,0,24,Abra,0
"C
ChrisTOP REVIEWER
28 ratings17 reviews
May 17, 2019
Wow, loved BJ's. Great choices of fresh healthy foods. The problem only came with where to store everything we bought! And we loved the coupon savings on top of a half price membership fee.
Helpful
04/07/2021 13:14:49
5","['C', 'ChrisTOP REVIEWER', '28 ratings17 reviews', 'May 17, 2019', ""Wow, loved BJ's. Great choices of fresh healthy foods. The problem only came with where to store everything we bought! And we loved the coupon savings on top of a half price membership fee."", 'Helpful', '04/07/2021 13:14:49', '5']",8,ChrisTOP REVIEWER,28 ratings17 reviews,05/17/2019,"Wow, loved BJ's. Great choices of fresh healthy foods. The problem only came with where to store everything we bought! And we loved the coupon savings on top of a half price membership fee.",04/07/2021 13:14:49,5,1,0,28,Chris,0
"W
WinnifredTOP REVIEWERHELPFUL REVIEWER
19 ratings14 reviews
May 17, 2019
Great place to do big shopping and seasonal specials. My only complaint is the coupon books, trying to keep track of them when I have numerous ones at the same time. They may even have duplicate coupons, but the dates drive one crazy. You need a filing system to keep track of what to use when!!!
Helpful
04/07/2021 13:14:49
4","['W', 'WinnifredTOP REVIEWERHELPFUL REVIEWER', '19 ratings14 reviews', 'May 17, 2019', 'Great place to do big shopping and seasonal specials. My only complaint is the coupon books, trying to keep track of them when I have numerous ones at the same time. They may even have duplicate coupons, but the dates drive one crazy. You need a filing system to keep track of what to use when!!!', 'Helpful', '04/07/2021 13:14:49', '4']",8,WinnifredTOP REVIEWERHELPFUL REVIEWER,19 ratings14 reviews,05/17/2019,"Great place to do big shopping and seasonal specials. My only complaint is the coupon books, trying to keep track of them when I have numerous ones at the same time. They may even have duplicate coupons, but the dates drive one crazy. You need a filing system to keep track of what to use when!!!",04/07/2021 13:14:49,4,1,1,19,Winnifred,0
"C
ChryilTOP REVIEWER
32 ratings23 reviews1 photos
May 17, 2019
Everything was nice and BJ’s the price is the location I’m glad I decided to join them
Helpful
04/07/2021 13:14:49
5","['C', 'ChryilTOP REVIEWER', '32 ratings23 reviews1 photos', 'May 17, 2019', 'Everything was nice and BJ’s the price is the location I’m glad I decided to join them', 'Helpful', '04/07/2021 13:14:49', '5']",8,ChryilTOP REVIEWER,32 ratings23 reviews1 photos,05/17/2019,Everything was nice and BJ’s the price is the location I’m glad I decided to join them,04/07/2021 13:14:49,5,1,0,32,Chryil,0
"S
Shanna
5 ratings2 reviews
May 17, 2019
They generally have a lot more vegetarian options and the best fresh bagels
Helpful
04/07/2021 13:14:49
5","['S', 'Shanna', '5 ratings2 reviews', 'May 17, 2019', 'They generally have a lot more vegetarian options and the best fresh bagels', 'Helpful', '04/07/2021 13:14:49', '5']",8,Shanna,5 ratings2 reviews,05/17/2019,They generally have a lot more vegetarian options and the best fresh bagels,04/07/2021 13:14:49,5,0,0,5,Shanna,0
"M
Maria
1 ratings1 reviews
May 17, 2019
I love shopping at bjs
Helpful
04/07/2021 13:14:49
5","['M', 'Maria', '1 ratings1 reviews', 'May 17, 2019', 'I love shopping at bjs', 'Helpful', '04/07/2021 13:14:49', '5']",8,Maria,1 ratings1 reviews,05/17/2019,I love shopping at bjs,04/07/2021 13:14:49,5,0,0,1,Maria,0
"X
XiorilizTOP REVIEWER
24 ratings7 reviews
May 17, 2019
Great costumers services
Helpful
04/07/2021 13:14:49
5","['X', 'XiorilizTOP REVIEWER', '24 ratings7 reviews', 'May 17, 2019', 'Great costumers services', 'Helpful', '04/07/2021 13:14:49', '5']",8,XiorilizTOP REVIEWER,24 ratings7 reviews,05/17/2019,Great costumers services,04/07/2021 13:14:49,5,1,0,24,Xioriliz,0
"M
Miguel
1 ratings1 reviews
May 17, 2019
Great place to buy and lot of discounts
Helpful
04/07/2021 13:14:49
5","['M', 'Miguel', '1 ratings1 reviews', 'May 17, 2019', 'Great place to buy and lot of discounts', 'Helpful', '04/07/2021 13:14:49', '5']",8,Miguel,1 ratings1 reviews,05/17/2019,Great place to buy and lot of discounts,04/07/2021 13:14:49,5,0,0,1,Miguel,0
"C
Cocoa
1 ratings1 reviews
May 16, 2019
It was quick and efficient.
Helpful
04/07/2021 13:14:49
5","['C', 'Cocoa', '1 ratings1 reviews', 'May 16, 2019', 'It was quick and efficient.', 'Helpful', '04/07/2021 13:14:49', '5']",8,Cocoa,1 ratings1 reviews,05/16/2019,It was quick and efficient.,04/07/2021 13:14:49,5,0,0,1,Cocoa,0
"J
Jose
1 ratings1 reviews
May 16, 2019
Good company worker's nice people clean place.
Helpful
04/07/2021 13:14:53
5","['J', 'Jose', '1 ratings1 reviews', 'May 16, 2019', ""Good company worker's nice people clean place."", 'Helpful', '04/07/2021 13:14:53', '5']",8,Jose,1 ratings1 reviews,05/16/2019,Good company worker's nice people clean place.,04/07/2021 13:14:53,5,0,0,1,Jose,0
"N
NiecyTOP REVIEWER
7 ratings7 reviews
May 16, 2019
I NEVER received my BJ's card. I have been so busy, the ONLY thing I received was a gas card!
Helpful
04/07/2021 13:14:53
1","['N', 'NiecyTOP REVIEWER', '7 ratings7 reviews', 'May 16, 2019', ""I NEVER received my BJ's card. I have been so busy, the ONLY thing I received was a gas card!"", 'Helpful', '04/07/2021 13:14:53', '1']",8,NiecyTOP REVIEWER,7 ratings7 reviews,05/16/2019,"I NEVER received my BJ's card. I have been so busy, the ONLY thing I received was a gas card!",04/07/2021 13:14:53,1,1,0,7,Niecy,0
"T
ToniTOP REVIEWERHELPFUL REVIEWER
28 ratings19 reviews
May 16, 2019
Prices higher than Sams Club. Had to wait a long time at membership desk because there was only one person working.
Helpful
04/07/2021 13:14:53
3","['T', 'ToniTOP REVIEWERHELPFUL REVIEWER', '28 ratings19 reviews', 'May 16, 2019', 'Prices higher than Sams Club. Had to wait a long time at membership desk because there was only one person working.', 'Helpful', '04/07/2021 13:14:53', '3']",8,ToniTOP REVIEWERHELPFUL REVIEWER,28 ratings19 reviews,05/16/2019,Prices higher than Sams Club. Had to wait a long time at membership desk because there was only one person working.,04/07/2021 13:14:53,3,1,1,28,Toni,0
"Y
YUHUA
2 ratings1 reviews
May 15, 2019
My old BJ card expiration date is July 23, 2019. I bough one year extension for my BJ card for $20 in Groupon on April 21, 2019. But I did not get one year extension. My Bj card new expiration date is April 21, 2020. I only get 9 months extension ! The BJ Club is cheating me !
Helpful
04/07/2021 13:14:53
1","['Y', 'YUHUA', '2 ratings1 reviews', 'May 15, 2019', 'My old BJ card expiration date is July 23, 2019. I bough one year extension for my BJ card for $20 in Groupon on April 21, 2019. But I did not get one year extension. My Bj card new expiration date is April 21, 2020. I only get 9 months extension ! The BJ Club is cheating me !', 'Helpful', '04/07/2021 13:14:53', '1']",8,YUHUA,2 ratings1 reviews,05/15/2019,"My old BJ card expiration date is July 23, 2019. I bough one year extension for my BJ card for $20 in Groupon on April 21, 2019. But I did not get one year extension. My Bj card new expiration date is April 21, 2020. I only get 9 months extension ! The BJ Club is cheating me !",04/07/2021 13:14:53,1,0,0,2,YUHUA,0
"A
Adebusola
1 ratings1 reviews
May 15, 2019
Great!
Helpful
04/07/2021 13:14:53
5","['A', 'Adebusola', '1 ratings1 reviews', 'May 15, 2019', 'Great!', 'Helpful', '04/07/2021 13:14:53', '5']",8,Adebusola,1 ratings1 reviews,05/15/2019,Great!,04/07/2021 13:14:53,5,0,0,1,Adebusola,0
"B
Bonnie
3 ratings1 reviews
May 15, 2019
Awesome Customer Service
Helpful
04/07/2021 13:14:53
5","['B', 'Bonnie', '3 ratings1 reviews', 'May 15, 2019', 'Awesome Customer Service', 'Helpful', '04/07/2021 13:14:53', '5']",8,Bonnie,3 ratings1 reviews,05/15/2019,Awesome Customer Service,04/07/2021 13:14:53,5,0,0,3,Bonnie,0
"G
GlendaTOP REVIEWER
7 ratings7 reviews
May 15, 2019
Quickly set up my account, no problem.
Helpful
04/07/2021 13:14:53
5","['G', 'GlendaTOP REVIEWER', '7 ratings7 reviews', 'May 15, 2019', 'Quickly set up my account, no problem.', 'Helpful', '04/07/2021 13:14:53', '5']",8,GlendaTOP REVIEWER,7 ratings7 reviews,05/15/2019,"Quickly set up my account, no problem.",04/07/2021 13:14:53,5,1,0,7,Glenda,0
"R
Richard
5 ratings1 reviews
May 14, 2019
No issues! Friendly staff. Offered me the credit card and did her job well.
Helpful
04/07/2021 13:14:53
5","['R', 'Richard', '5 ratings1 reviews', 'May 14, 2019', 'No issues! Friendly staff. Offered me the credit card and did her job well.', 'Helpful', '04/07/2021 13:14:53', '5']",8,Richard,5 ratings1 reviews,05/14/2019,No issues! Friendly staff. Offered me the credit card and did her job well.,04/07/2021 13:14:53,5,0,0,5,Richard,0
"I
IleanaTOP REVIEWERHELPFUL REVIEWER
54 ratings35 reviews
May 13, 2019
Getting my membership card at the store was easy! No issues with the voucher. Great experience over all!
Helpful
04/07/2021 13:14:53
5","['I', 'IleanaTOP REVIEWERHELPFUL REVIEWER', '54 ratings35 reviews', 'May 13, 2019', 'Getting my membership card at the store was easy! No issues with the voucher. Great experience over all!', 'Helpful', '04/07/2021 13:14:53', '5']",8,IleanaTOP REVIEWERHELPFUL REVIEWER,54 ratings35 reviews,05/13/2019,Getting my membership card at the store was easy! No issues with the voucher. Great experience over all!,04/07/2021 13:14:53,5,1,1,54,Ileana,0
"C
Carl
1 ratings1 reviews
May 12, 2019
It’s great
Helpful
04/07/2021 13:14:53
5","['C', 'Carl', '1 ratings1 reviews', 'May 12, 2019', 'It’s great', 'Helpful', '04/07/2021 13:14:53', '5']",8,Carl,1 ratings1 reviews,05/12/2019,It’s great,04/07/2021 13:14:53,5,0,0,1,Carl,0
"S
Susan
1 ratings1 reviews
May 12, 2019
Good customer service, checkout was easy and simple. Bathrooms 4 out of 5
Helpful
04/07/2021 13:14:56
4","['S', 'Susan', '1 ratings1 reviews', 'May 12, 2019', 'Good customer service, checkout was easy and simple. Bathrooms 4 out of 5', 'Helpful', '04/07/2021 13:14:56', '4']",8,Susan,1 ratings1 reviews,05/12/2019,"Good customer service, checkout was easy and simple. Bathrooms 4 out of 5",04/07/2021 13:14:56,4,0,0,1,Susan,0
"J
Janet
13 ratings3 reviews
May 10, 2019
Easy to redeem. Membership for a year
Helpful
04/07/2021 13:14:56
5","['J', 'Janet', '13 ratings3 reviews', 'May 10, 2019', 'Easy to redeem. Membership for a year', 'Helpful', '04/07/2021 13:14:56', '5']",8,Janet,13 ratings3 reviews,05/10/2019,Easy to redeem. Membership for a year,04/07/2021 13:14:56,5,0,0,13,Janet,0
"P
PetrTOP REVIEWER
7 ratings5 reviews
May 10, 2019
👍👍👍great deal
Helpful
04/07/2021 13:14:56
5","['P', 'PetrTOP REVIEWER', '7 ratings5 reviews', 'May 10, 2019', '👍👍👍great deal', 'Helpful', '04/07/2021 13:14:56', '5']",8,PetrTOP REVIEWER,7 ratings5 reviews,05/10/2019,👍👍👍great deal,04/07/2021 13:14:56,5,1,0,7,Petr,0
"J
JayciTOP REVIEWERHELPFUL REVIEWER
20 ratings5 reviews
May 10, 2019
Very friendly employees! No issues redeeming my Groupon. Love that there are enough registers and self-checkout lines available so I am in and out with no delay.
Helpful
04/07/2021 13:14:56
5","['J', 'JayciTOP REVIEWERHELPFUL REVIEWER', '20 ratings5 reviews', 'May 10, 2019', 'Very friendly employees! No issues redeeming my Groupon. Love that there are enough registers and self-checkout lines available so I am in and out with no delay.', 'Helpful', '04/07/2021 13:14:56', '5']",8,JayciTOP REVIEWERHELPFUL REVIEWER,20 ratings5 reviews,05/10/2019,Very friendly employees! No issues redeeming my Groupon. Love that there are enough registers and self-checkout lines available so I am in and out with no delay.,04/07/2021 13:14:56,5,1,1,20,Jayci,0
"T
Tyshawn
1 ratings1 reviews
May 10, 2019
Very fast and respectful...
Helpful
04/07/2021 13:14:56
5","['T', 'Tyshawn', '1 ratings1 reviews', 'May 10, 2019', 'Very fast and respectful...', 'Helpful', '04/07/2021 13:14:56', '5']",8,Tyshawn,1 ratings1 reviews,05/10/2019,Very fast and respectful...,04/07/2021 13:14:56,5,0,0,1,Tyshawn,0
"N
Nick
1 ratings1 reviews
May 10, 2019
Helpful
04/07/2021 13:14:56
5","['N', 'Nick', '1 ratings1 reviews', 'May 10, 2019', 'Helpful', '04/07/2021 13:14:56', '5']",7,Nick,1 ratings1 reviews,05/10/2019,None,04/07/2021 13:14:56,5,0,0,1,Nick,0
"R
Robert
3 ratings3 reviews
May 10, 2019
Great service when needed information For the products needed!
Helpful
04/07/2021 13:14:56
5","['R', 'Robert', '3 ratings3 reviews', 'May 10, 2019', 'Great service when needed information For the products needed!', 'Helpful', '04/07/2021 13:14:56', '5']",8,Robert,3 ratings3 reviews,05/10/2019,Great service when needed information For the products needed!,04/07/2021 13:14:56,5,0,0,3,Robert,0
"W
WilliamTOP REVIEWER
11 ratings11 reviews
May 10, 2019
good savings.. membership fee good as well
Helpful
04/07/2021 13:14:56
5","['W', 'WilliamTOP REVIEWER', '11 ratings11 reviews', 'May 10, 2019', 'good savings.. membership fee good as well', 'Helpful', '04/07/2021 13:14:56', '5']",8,WilliamTOP REVIEWER,11 ratings11 reviews,05/10/2019,good savings.. membership fee good as well,04/07/2021 13:14:56,5,1,0,11,William,0
"P
Paul
4 ratings3 reviews
May 10, 2019
Horrible won't let me buy it and customer support sucks!
Helpful
04/07/2021 13:14:56
1","['P', 'Paul', '4 ratings3 reviews', 'May 10, 2019', ""Horrible won't let me buy it and customer support sucks!"", 'Helpful', '04/07/2021 13:14:56', '1']",8,Paul,4 ratings3 reviews,05/10/2019,Horrible won't let me buy it and customer support sucks!,04/07/2021 13:14:56,1,0,0,4,Paul,0
"A
Angele
2 ratings2 reviews
May 9, 2019
Super easy! Love it!
Helpful
04/07/2021 13:14:56
5","['A', 'Angele', '2 ratings2 reviews', 'May 9, 2019', 'Super easy! Love it!', 'Helpful', '04/07/2021 13:14:56', '5']",8,Angele,2 ratings2 reviews,05/09/2019,Super easy! Love it!,04/07/2021 13:14:56,5,0,0,2,Angele,0
"J
JohnTOP REVIEWER
25 ratings10 reviews
May 9, 2019
Much closer than Cosco and I really didn’t see any difference
Helpful
04/07/2021 13:15:00
5","['J', 'JohnTOP REVIEWER', '25 ratings10 reviews', 'May 9, 2019', 'Much closer than Cosco and I really didn’t see any difference', 'Helpful', '04/07/2021 13:15:00', '5']",8,JohnTOP REVIEWER,25 ratings10 reviews,05/09/2019,Much closer than Cosco and I really didn’t see any difference,04/07/2021 13:15:00,5,1,0,25,John,0
"D
David
2 ratings2 reviews
May 9, 2019
I simply love BJ's, so getting a membership for $25 is amazing
Helpful
04/07/2021 13:15:00
5","['D', 'David', '2 ratings2 reviews', 'May 9, 2019', ""I simply love BJ's, so getting a membership for $25 is amazing"", 'Helpful', '04/07/2021 13:15:00', '5']",8,David,2 ratings2 reviews,05/09/2019,"I simply love BJ's, so getting a membership for $25 is amazing",04/07/2021 13:15:00,5,0,0,2,David,0
"E
EdwardTOP REVIEWER
5 ratings5 reviews
May 7, 2019
Very smooth transaction. BJs immediately accepted the voucher and game me the membership card.
Helpful
04/07/2021 13:15:00
5","['E', 'EdwardTOP REVIEWER', '5 ratings5 reviews', 'May 7, 2019', 'Very smooth transaction. BJs immediately accepted the voucher and game me the membership card.', 'Helpful', '04/07/2021 13:15:00', '5']",8,EdwardTOP REVIEWER,5 ratings5 reviews,05/07/2019,Very smooth transaction. BJs immediately accepted the voucher and game me the membership card.,04/07/2021 13:15:00,5,1,0,5,Edward,0
